Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bae37d7f4daa6e45d0643c,67da5ae29f57419143d2b99a,AWAITING REVIEW,Not Applicable,2026-03-18T17:40:13.983000Z,2026-03-18T18:35:36.533000Z,,2026-03-18T18:35:36.914393Z,3323.0,CB1C6FHQ,1258,English,60,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"69bae37dfa94c6aa5c25a034,697babc50cd42f81edf45acc,AWAITING REVIEW,Not Applicable,2026-03-18T17:40:13.601000Z,2026-03-18T18:02:08.113000Z,,2026-03-18T18:02:08.474426Z,1315.0,CB1C6FHQ,12,""English, Spanish"",25,Female,Mixed,Brazil,Brazil,Brazil,Portuguese,Yes,Part-Time"
"69bae395f823a93812696782,69733a04455247c7dc474a8f,AWAITING REVIEW,Not Applicable,2026-03-18T17:41:02.502000Z,2026-03-18T18:46:43.282000Z,,2026-03-18T18:46:43.673537Z,3941.0,CB1C6FHQ,179,""Polish, English"",25,Male,White,Poland,Poland,Poland,Polish,No,Full-Time"
69bae3b3e66411e23973171a,69ba73e08396d331aa53b9d0,RETURNED,Not Applicable,2026-03-18T17:41:22.391000Z,,,2026-03-19T09:23:20.187835Z,,,7,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bae3c9cdb12662ded3fc04,66b9af8ca020d514f5131634,RETURNED,Not Applicable,2026-03-18T17:52:00.014000Z,,,2026-03-19T09:23:20.188342Z,,,1157,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
"69bae401e6464e32e619c5b1,698087b7749205156fad2839,AWAITING REVIEW,Not Applicable,2026-03-18T17:42:31.732000Z,2026-03-18T18:57:23.273000Z,,2026-03-18T18:57:23.836997Z,4492.0,CB1C6FHQ,166,""Arabic, English, Spanish, German"",20,Male,White,Egypt,Egypt,Egypt,Arabic,Yes,Full-Time"
69bae4130dc532ced0b223df,69adc6b60239ce9ed0b99488,AWAITING REVIEW,Not Applicable,2026-03-18T17:43:31.192000Z,2026-03-18T18:10:00.480000Z,,2026-03-18T18:10:00.839635Z,1590.0,CB1C6FHQ,5,English,42,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
"69bae43fd6579aed9294317f,697caea4641fb84f89fd2cd9,AWAITING REVIEW,Not Applicable,2026-03-18T17:45:24.687000Z,2026-03-18T18:35:27.265000Z,,2026-03-18T18:35:27.647850Z,3003.0,CB1C6FHQ,130,""English, Telugu, Tamil"",25,Male,Asian,India,India,India,Hindi,No,Part-Time"
69bae51543265dbcab713bc8,60dd21fe197081ce030b7470,RETURNED,Not Applicable,,,,2026-03-19T09:23:20.189614Z,,,1110,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bae5a164b055b4d250a1bf,6505aadaf7dd5a79e3878ee3,RETURNED,Not Applicable,2026-03-18T17:49:26.033000Z,,,2026-03-19T09:23:20.191979Z,,,319,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
"69bae6fa94222a0a994e896c,69312ba1d943a5826b2cbcaf,AWAITING REVIEW,Not Applicable,2026-03-18T17:57:10.731000Z,2026-03-18T18:34:31.412000Z,,2026-03-18T18:34:31.788332Z,2241.0,CB1C6FHQ,453,""English, German"",41,Female,White,Germany,Germany,Germany,German,No,Full-Time"
"69bae79afba73f719de8e5c3,6980c0e494760464bbe94eb4,AWAITING REVIEW,Not Applicable,2026-03-18T17:58:46.340000Z,2026-03-18T18:38:40.246000Z,,2026-03-18T18:38:40.594683Z,2394.0,CB1C6FHQ.,27,""Arabic, English"",25,Male,White,Egypt,Egypt,Egypt,Arabic,No,Part-Time"
69bae8b8f34b1a253b40480c,693bb2bafd964eb701477cec,AWAITING REVIEW,Not Applicable,2026-03-18T18:02:32.342000Z,2026-03-18T18:45:24.187000Z,,2026-03-18T18:45:24.538438Z,2572.0,CB1C6FHQ,123,English,33,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
"69baeb1587b8b94ccbf087ad,5c4f9227af9f500001be902e,AWAITING REVIEW,Not Applicable,2026-03-18T18:13:48.597000Z,2026-03-18T18:38:32.604000Z,,2026-03-18T18:38:32.951737Z,1485.0,CB1C6FHQ.,1294,""English, Spanish"",45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time"
69bc1d52d484736aa6b591cc,6650a67dbae2a95182ef8c9f,AWAITING REVIEW,Not Applicable,2026-03-19T15:59:18.356000Z,2026-03-19T16:21:04.853000Z,,2026-03-19T16:21:05.247016Z,1307.0,CB1C6FHQ,897,English,26,Male,White,United States,United States,United States,English,No,Full-Time
"69bc1f9b4600da0af4f4a4d5,693407307f784b234604c379,AWAITING REVIEW,Not Applicable,2026-03-19T16:09:32.013000Z,2026-03-19T16:38:43.906000Z,,2026-03-19T16:38:44.315719Z,1752.0,CB1C6FHQ,549,""English, Turkish"",25,Male,Asian,Germany,Germany,Germany,German,No,Full-Time"
"69bc2065b4962fa10a8b195c,5fea2b5ebd6f23a036123648,AWAITING REVIEW,Not Applicable,2026-03-19T16:12:41.223000Z,2026-03-19T16:44:06.490000Z,,2026-03-19T16:44:06.946627Z,1886.0,CB1C6FHQ,1313,""English, French, Italian"",61,Male,White,Italy,Italy,Italy,Italian,No,Full-Time"
69bc20d1cec1e01cece96937,699e25d78a100368afb5bd5e,AWAITING REVIEW,Not Applicable,2026-03-19T16:14:16.272000Z,2026-03-19T17:10:32.725000Z,,2026-03-19T17:10:33.080157Z,3377.0,CB1C6FHQ,122,English,34,Female,White,United States,United States,United States,English,No,Full-Time
"69bc20fe869a52abe3cb9875,610c3cefa023b67a5984feb6,AWAITING REVIEW,Not Applicable,2026-03-19T16:16:34.757000Z,2026-03-19T16:35:36.170000Z,,2026-03-19T16:35:36.519715Z,1142.0,CB1C6FHQ,163,""Portuguese, English, Spanish"",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)"
"69bc215704fdbf368613816f,699f7f789adbcb62f46b9a5a,AWAITING REVIEW,Not Applicable,2026-03-19T16:16:29.883000Z,2026-03-19T16:29:45.228000Z,,2026-03-19T16:29:45.591667Z,796.0,NOCODE,15,""English, Hebrew"",42,Male,Mixed,Israel,Canada,Canada,Hebrew,No,Part-Time"
"69bc24740e99d716ac07d17a,5968b8040e679d0001fabd89,AWAITING REVIEW,Not Applicable,2026-03-19T16:29:48.791000Z,2026-03-19T16:44:03.013000Z,,2026-03-19T16:44:03.368597Z,855.0,CB1C6FHQ,1368,""English, Portuguese"",44,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time"
"69bc248de7c29caca12906fa,670fae3ffefdc4fd64eadfc4,AWAITING REVIEW,Not Applicable,2026-03-19T16:30:29.705000Z,2026-03-19T17:11:24.744000Z,,2026-03-19T17:11:25.118897Z,2456.0,CB1C6FHQ,669,""English, Afrikaans"",56,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time"
69bc24fe8da193899a420032,68d8056f523c5e9e7d3e9369,AWAITING REVIEW,Not Applicable,2026-03-19T16:32:02.306000Z,2026-03-19T17:00:09.856000Z,,2026-03-19T17:00:10.213484Z,1688.0,CB1C6FHQ,209,English,46,Male,Asian,Malaysia,Malaysia,Malaysia,Malay,Yes,Part-Time
"69bc256abfc9aa915e5a432c,697cf5f3b613721bdafd5991,AWAITING REVIEW,Not Applicable,2026-03-19T16:42:45.024000Z,2026-03-19T17:28:14.274000Z,,2026-03-19T17:28:14.652140Z,2730.0,CB1C6FHQ,49,""English, Spanish"",34,Male,White,France,Ireland,France,French,No,Full-Time"
69bc29281ba119a131caa0b8,60455b1578f6f36a3e8ea81c,AWAITING REVIEW,Not Applicable,2026-03-19T16:49:47.808000Z,2026-03-19T17:04:33.865000Z,,2026-03-19T17:04:34.241455Z,887.0,CB1C6FHQ,2360,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
69bc2949ab27e70dde21167a,69a9e1baa9a0e761903df15c,AWAITING REVIEW,Not Applicable,2026-03-19T16:50:21.208000Z,2026-03-19T17:15:56.602000Z,,2026-03-19T17:15:56.964195Z,1536.0,CB1C6FHQ,189,English,37,Male,White,United States,United States,United States,English,No,Full-Time
69bc2b246caaf3e17ba81f69,69b3d338ba741954f5956106,AWAITING REVIEW,Not Applicable,2026-03-19T16:59:06.811000Z,2026-03-19T17:29:14.541000Z,,2026-03-19T17:29:14.923866Z,1808.0,CB1C6FHQ,6,English,29,Male,White,Romania,Romania,Romania,Romanian,No,Full-Time
"69bc2c23922da599c89baae1,5b717948f736c000012b4f1e,AWAITING REVIEW,Not Applicable,2026-03-19T17:02:31.362000Z,2026-03-19T17:22:34.897000Z,,2026-03-19T17:22:35.325245Z,1204.0,CB1C6FHQ,126,""English, Spanish"",33,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)"
69bc37a00361d5a7bad1d144,5e5012ec47808406305d6a0d,AWAITING REVIEW,Not Applicable,2026-03-19T17:51:33.951000Z,2026-03-19T18:16:56.608000Z,,2026-03-19T18:16:57.774061Z,1523.0,CB1C6FHQ.,5975,English,62,Male,White,United Kingdom,United Kingdom,Ireland,English,No,DATA_EXPIRED
69bd013c1ed5831662bf311e,698093a6ccef1114e376cfe5,AWAITING REVIEW,Not Applicable,2026-03-20T08:11:40.937000Z,2026-03-20T08:44:45.307000Z,,2026-03-20T08:44:45.778077Z,1985.0,CB1C6FHQ.,62,English,25,Female,Asian,India,India,India,English,No,Full-Time
69bd013ef91ea4eca8105780,697a4bca3a9b41997e03bdaf,AWAITING REVIEW,Not Applicable,2026-03-20T08:19:02.783000Z,2026-03-20T09:00:26.129000Z,,2026-03-20T09:00:26.519946Z,2484.0,CB1C6FHQ,36,English,24,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
69bd016439dbce8a83cdc2c3,69aac33601aaa14cc80f3463,AWAITING REVIEW,Not Applicable,2026-03-20T08:12:41.167000Z,2026-03-20T08:39:37.369000Z,,2026-03-20T08:39:37.777302Z,1617.0,CB1C6FHQ,32,English,41,Female,White,Canada,Canada,Canada,English,No,Part-Time
