"Response ID","passed"
"2","Close"
"3","Pass"
"5","Pass"
"6","Close"
"7","Pass"
"8","Pass"
"11","Pass"
"12","Pass"
"13","Pass"
"14","Close"
"16","Pass"
"17","Pass"
"18","Pass"
"20","Pass"
"24","NoSubmission"
"25","Pass"
"26","Close"
"27","Fail"
"28","Pass"
"29","Pass"
"30","Pass"
"32","Pass"
"33","Pass"
"37","NoSubmission"
"40","Pass"
"41","Fail"
"42","Pass"
"44","Pass"
"46","Pass"
"47","NoSubmission"
"49","NoSubmission"
"50","Pass"
"52","NoSubmission"
"53","Pass"
"55","Pass"
"56","Pass"
"57","Close"
"59","Pass"
"61","Fail"
"62","Pass"
"63","Pass"
"65","Close"
"67","Pass"
"70","Pass"
"72","NoSubmission"
"73","Pass"
"75","Pass"
"76","Pass"
"77","Pass"
"78","Fail"
"80","Fail"
"81","Fail"
"82","Pass"
"83","Close"
"85","NoSubmission"
"86","Pass"
"87","Close"
"88","Close"
"89","Pass"
"90","Pass"
